,AM-AD-1,AM-AD-2,AM-F10-T1,AM-F10-T2,DA-AD-1,DA-AD-1T,DA-AD-2,DA-AD-3,DA-AD-3T,DA-AD-4,ES-AD-1,ES-AD-2,ES-AD-3,ES-AD-4,FR-AD-1,FR-AD-2,FR-AD-3,FR-AD-4,FR-AD-5,FR-AD-6,FR-AD-7,FR-AD-8,IT-AD-1,IT-AD-2,IT-AD-3,IT-AD-4,IT-AD-5,IT-AD-6,JP-AD-1,JP-AD-2,JP-AD-3,JP-AD-4,JP-AD-5,JP-AD-6,JP-AD-7,JP-AD-8,JP-AD-9,JP-IN-1,JP-IN-2,JP-IN-3,JP-IN-4
-1,0.16892583,0.11684018,0.33042652,0.23412756,0.23811997,0.43586382,0.33692857,0.34064862,0.58885228,0.3506081,0.0898721,0.18220553,0.14920488,0.20272073,0.17449651,0.30117311,0.17037067,0.21726635,0.23737416,0.19102908,0.17129807,0.21682857,0.15164714,0.17657701,0.16691975,0.12283955,0.30313471,0.19237182,0.11279644,0.24628007,0.15954129,0.16974966,0.27190725,0.13687148,0.09032284,0.13681222,0.13320778,0.07284323,0.03526939,0.03781742,0.20016159
Acidobacteria,0.00002054,0.00002917,0.00000141,0.00000977,0.00005208,0.00001618,0.00006341,0.00011975,0.00004607,0.00005024,0.00000527,0.00002257,0.00000842,0.00010138,0.00004447,0.00006295,0.00003471,0.00003062,0.00006907,0.00003123,0.00003609,0.00002217,0.00000583,0.0000746,0.00007745,0,0.00008591,0.00005129,0.00000953,0.00003584,0.00002346,0.00001355,0.00002901,0.00003256,0.00001914,0.00001233,0,0,0,0,0
Actinobacteria,0.32518643,0.11576091,0.06308089,0.25399911,0.01137452,0.00371817,0.03502308,0.06000666,0.0129797,0.0207279,0.05011165,0.01858738,0.02971339,0.03099269,0.10480643,0.04513186,0.01860817,0.03858883,0.14632345,0.05700503,0.01549095,0.06279218,0.10402447,0.14923517,0.10407593,0.10218191,0.09824983,0.15882559,0.02657383,0.07726116,0.06915465,0.13623563,0.13483176,0.07840211,0.01956259,0.08505507,0.01925543,0.00215492,0.92790634,0.80454133,0.16329326
Aquificae,0,0,0.00004572,0,0.00001518,0.00005678,0.00002785,0.00012442,0.00008964,0,0.00001067,0,0,0,0.00006228,0.00009128,0,0.0000463,0,0.0000987,0.00007519,0,0,0,0,0.00002993,0.00004712,0,0,0.00009202,0,0,0.00004595,0.00005241,0,0,0,0,0,0,0
Bacteria,0,0.00012833,0.00002557,0.0000165,0.00019235,0.00012951,0.00086186,0.00001716,0.00018038,0.00029304,0.00001844,0.00017877,0.00004122,0.00008786,0,0.00007659,0.00019122,0.00011621,0.00007024,0.00019557,0,0.0001008,0.00040866,0.00003611,0.00012268,0,0.00011578,0.00003303,0.0000289,0.00015298,0.0000244,0.00014732,0,0,0,0,0.00002744,0,0,0,0
Bacteroidetes,0.00139578,0.0009215,0.07972909,0.06990209,0.47683905,0.30014349,0.22134307,0.19097161,0.13819179,0.21992866,0.648998,0.55749751,0.55136917,0.32165944,0.24037708,0.22592944,0.47633173,0.19025861,0.19959805,0.25187596,0.22942448,0.22133055,0.27014593,0.12517438,0.28471551,0.51258107,0.15300022,0.28745435,0.38541955,0.0729019,0.21133989,0.29471764,0.13916147,0.48697153,0.4605875,0.46512889,0.22177088,0.00288456,0.00017071,0.00010381,0.00789039
Chlamydiae,0,0,0,0,0.00009013,0.00002007,0.00002277,0,0.00000862,0.00007036,0.00003354,0.00002497,0,0.00002374,0,0,0,0,0.00001994,0,0,0.00002287,0,0,0.00004997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobi,0.00003462,0,0.00006427,0.00000959,0.00028425,0.00010758,0.00011028,0.00042049,0.00029071,0.00026188,0.00021264,0.00018223,0.0001884,0.00033246,0.00008547,0.00014648,0.00006213,0.00014335,0.00018082,0.00008659,0.000033,0.00016482,0.00005736,0.00019295,0.00009466,0.00030721,0.00019841,0.00026029,0.00004867,0.00007815,0.00008766,0.00004378,0.00012069,0.00006612,0.00008302,0.00005678,0.00003814,0,0,0.00003285,0
Chloroflexi,0.00049143,0.00104032,0.00019812,0.00015109,0.00040869,0.00013869,0.00063474,0.00075968,0.00030136,0.00059749,0.00026102,0.00044973,0.00019144,0.00064579,0.00056938,0.0002509,0.00024891,0.0006144,0.00036363,0.00018377,0.00029567,0.00053977,0.00238665,0.00060815,0.00048603,0.00010529,0.00069384,0.00045444,0.00002008,0.00063448,0.00046611,0.00041208,0.00048094,0.00030531,0.00010064,0.00012529,0.00021078,0,0.00001389,0.00000552,0
Crenarchaeota,0,0,0,0,0.00000869,0.0000021,0.00003987,0,0.00000771,0,0,0.000022,0,0.00006732,0.00001598,0.00002807,0,0,0.00008366,0,0,0,0,0,0,0,0.00001536,0.00001534,0.00003006,0.00008981,0,0,0,0.00009643,0,0,0,0,0,0,0
Cyanobacteria,0.00003101,0.00003515,0.00002648,0.00002295,0.0001659,0.00008083,0.00015974,0.00010324,0.00008177,0.00167183,0.00003448,0.0000812,0.00001931,0.00003062,0.00240615,0.0000438,0.00018473,0.00009642,0.00004575,0.00071743,0.00010923,0.00004336,0.00085175,0.0000228,0.00000815,0.00000473,0.00006365,0.00006295,0.00011948,0.00004259,0.00001947,0.00003585,0.00009921,0.00002674,0,0.0000163,0,0.00001054,0.00002978,0,0
Deferribacteres,0.00010579,0,0.00003812,0.00000243,0.00007833,0.00010576,0.00015705,0.00000876,0.00004312,0.00008382,0.00001629,0.00012696,0.00020621,0.00000452,0.00003985,0.00005252,0.00002859,0.00005997,0.00004309,0.00006532,0.0000174,0.000059,0.00003101,0,0.00005426,0.00001708,0.00006749,0.00001685,0.00002457,0.00002009,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0.00017314,0.00011354,0.00005914,0.0000197,0.00011169,0.00004738,0.0002602,0.00038705,0.00012465,0.00009018,0.00008395,0.00005604,0.00010813,0.00018306,0.00012251,0.0000893,0.00005033,0.00021315,0.00024725,0.00010532,0.00004134,0.00008697,0.00021202,0.00022618,0.00004585,0.00001487,0.00026303,0.00014007,0,0.00014598,0.00007168,0.00007955,0.00009686,0.0000643,0.00003533,0.00008281,0.00002912,0,0,0,0.00002894
Dictyoglomi,0.00002089,0,0.00001787,0.00001645,0.00002918,0.00004933,0.0000297,0.0000152,0.00003831,0.00004438,0.00000943,0.00003158,0.00001636,0.00001569,0.00001417,0.0000304,0.00003259,0.00000992,0.00001228,0.00001418,0.00001511,0.00004385,0,0,0.00004544,0.00002807,0.00008322,0.0000277,0.0000256,0.00004187,0,0.00004851,0,0,0,0,0,0,0,0,0
Euryarchaeota,0.11253005,0.10462924,0.0200169,0.01336131,0.00037557,0.00029409,0.00808608,0.00118792,0.0026065,0.00091807,0.00012658,0.00051217,0.00016384,0.00047515,0.00206319,0.00327277,0.00022971,0.00078281,0.01291568,0.0086249,0.00058415,0.0004218,0.00026621,0.00128244,0.00029668,0.00082207,0.01896442,0.00629064,0.00022637,0.00094647,0.00051847,0.00022634,0.00037738,0.00024924,0.00006296,0.00011981,0.00008344,0.00016601,0,0,0.00000975
Fibrobacteres,0.00009234,0.00007823,0.00003281,0.00002856,0.00012589,0.00007658,0.00014897,0.00042337,0.00020167,0.00039008,0.00005313,0.00008514,0.00013037,0.000173,0.00017561,0.0002471,0.0001136,0.00019874,0.0001211,0.00013692,0.00002919,0.00014851,0,0.00012098,0.00015166,0.00006205,0.00042446,0.00020722,0.00008653,0.00019543,0.00017397,0.0000937,0.00021985,0.00009654,0.00003752,0.00006839,0.0001017,0,0,0,0.00011132
Firmicutes,0.38255147,0.65556032,0.49108325,0.42186435,0.25581796,0.25110166,0.24235092,0.34570369,0.23274033,0.36739344,0.1977112,0.22598244,0.25571475,0.37849802,0.45004437,0.30880763,0.2764121,0.51759147,0.37630979,0.46869648,0.55621804,0.46006351,0.40337563,0.28324808,0.40767895,0.25370158,0.35157435,0.33217403,0.45519783,0.55838565,0.5068708,0.36873338,0.42106111,0.27969018,0.41257974,0.30414106,0.60969879,0.06751501,0.0337312,0.15584186,0.30519499
Fusobacteria,0.00110753,0.00136933,0.00116201,0.00033146,0.001036,0.00146208,0.00489321,0.00039763,0.00209912,0.00283501,0.00034391,0.00072436,0.0008766,0.00090789,0.00058107,0.0016802,0.00122357,0.00221205,0.00297922,0.00122286,0.00204998,0.00113988,0.00035684,0.00039295,0.00172922,0.00070303,0.00101098,0.00051793,0.00106836,0.00130555,0.00027431,0.00088705,0.00105216,0.00049982,0.00741562,0.00077911,0.00118001,0.00131077,0.00011094,0.00037003,0.0028482
Gemmatimonadetes,0,0,0,0,0.00001233,0.00000093,0.00000602,0.00002028,0.00000857,0.00001534,0,0,0,0,0,0,0,0,0,0,0,0.00001191,0,0.00000427,0,0,0.00002345,0,0.00002049,0,0,0.00000971,0,0,0,0,0,0.00001727,0,0,0.00002035
Korarchaeota,0,0,0,0,0,0,0.00001755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrospira,0,0.00003913,0.00001049,0,0.00001427,0.00003644,0.00004877,0.00001408,0.00004628,0.00008995,0,0.00002193,0,0.00001453,0.00009185,0.00002815,0.00006376,0.00002755,0,0,0.00005597,0,0,0,0.00002908,0.00002746,0.00005426,0,0.00004741,0,0,0,0,0.00002524,0,0,0,0,0,0,0
Planctomycetes,0,0.00001097,0.00000258,0.0000011,0.00000664,0.00000139,0.00002464,0.00002723,0.00000692,0.00001455,0.00003071,0.00001734,0.00001133,0.00000407,0,0.00004189,0.0000237,0.00000386,0.00003083,0.00001395,0,0.00000386,0,0.00001714,0,0,0.00004046,0.00001761,0,0.00002718,0.00001123,0,0,0.00001866,0,0,0,0,0,0.00000442,0
Proteobacteria,0.00423799,0.00215826,0.00860647,0.00275689,0.01127394,0.00440771,0.01427568,0.02223746,0.00746159,0.02444547,0.01092813,0.0104377,0.01003192,0.01071229,0.01189509,0.01652648,0.00917941,0.01529802,0.01186216,0.01621972,0.01047758,0.01150235,0.04685649,0.21244344,0.0251027,0.00515374,0.03429752,0.01474926,0.01625202,0.03777488,0.04868122,0.02656502,0.01635191,0.01309236,0.00844851,0.0047828,0.01331879,0.85307766,0.00275574,0.00113811,0.31963919
Spirochaetes,0.00043621,0.00034988,0.0002787,0.0002081,0.00046755,0.00035036,0.00111934,0.00056327,0.000422,0.00062287,0.00016918,0.00017866,0.00026388,0.00035118,0.00029033,0.00047025,0.0002809,0.00044893,0.00028272,0.00120266,0.00039747,0.00060992,0.00042865,0.00048457,0.00031873,0.00020725,0.00055999,0.00032151,0.00016214,0.00070004,0.00009202,0.00034885,0.00054372,0.00024458,0.00021745,0.00133214,0.00025537,0.00002002,0.00001202,0.00005595,0.00021983
Synergistetes,0.00232364,0.00052859,0.00069407,0.00043928,0.00158843,0.00058701,0.00253914,0.00593882,0.00158713,0.00275699,0.00078016,0.00146236,0.00112548,0.00304958,0.00235499,0.00270157,0.00078594,0.00200327,0.00272134,0.00173931,0.0012148,0.00183038,0.00618853,0.00378795,0.00183107,0.00067203,0.00562234,0.00176252,0.00082217,0.00250409,0.00167056,0.00121439,0.00492327,0.00122058,0.00028361,0.00112161,0.00058977,0,0,0.00005454,0.00013432
Tenericutes,0.00016349,0.00018774,0.00320093,0.00002097,0.00094481,0.00094685,0.06855508,0.00024873,0.00217141,0.00526657,0.00002068,0.0006224,0.00011676,0.0000889,0.00035887,0.00542017,0.00004267,0.00127802,0.00800131,0.0005804,0.00029411,0.00058123,0.00004273,0.0002921,0.0003382,0.00049858,0.00051515,0.00050513,0.00012639,0.00014214,0,0,0.0002562,0.00004506,0,0.00016387,0.00006331,0,0,0,0.00016722
Thermotogae,0.00002138,0,0.00003459,0.00001773,0.00014502,0.00010348,0.0001598,0.00004877,0.00015505,0.0001471,0.00003089,0.00002267,0.00008847,0.00003359,0.00008198,0.000026,0.00016618,0.00014477,0.00010025,0.0001085,0.00007324,0.00012305,0,0.00010418,0.00017575,0,0.00011921,0.00006966,0.0000496,0.00004137,0.00005301,0.00004838,0.00021405,0,0,0.00007002,0,0,0,0.00003416,0.00005039
Verrucomicrobia,0.00015043,0.00021921,0.001164,0.00269302,0.00042157,0.00015171,0.06211261,0.02960609,0.00925733,0.00067667,0.00013795,0.00046638,0.00040966,0.04882648,0.00902235,0.08767109,0.0453347,0.0125664,0.00024423,0.00004616,0.01176894,0.02152869,0.01271408,0.04567455,0.0056523,0.00004248,0.03077482,0.00367078,0.00084397,0.00020026,0.00092579,0.00038961,0.00822721,0.00192875,0.00024354,0.00013152,0.00016926,0,0,0,0.00023023